depth	yearBP	SST	Notes
537.5	2071	8.76	MD99-2275
538.5	2077	8.74	MD99-2275
539.5	2082	9.22	MD99-2275
540.5	2089	8.65	MD99-2275
541.5	2097	8.73	MD99-2275
542.5	2102	9.80	MD99-2275
543.5	2107	9.77	MD99-2275
544.5	2112	9.56	MD99-2275
545.5	2117	9.84	MD99-2275
546.5	2123	9.10	MD99-2275
547.5	2128	8.80	MD99-2275
548.5	2133	8.85	MD99-2275
549.5	2138	8.37	MD99-2275
550.5	2143	8.89	MD99-2275
551.5	2148	9.57	MD99-2275
552.5	2153	9.74	MD99-2275
553.5	2158	10.55	MD99-2275
554.5	2164	8.73	MD99-2275
555.5	2169	9.18	MD99-2275
556.5	2174	8.51	MD99-2275
557.5	2179	8.50	MD99-2275
558.5	2184	8.79	MD99-2275
559.5	2189	9.39	MD99-2275
560.5	2194	9.44	MD99-2275
561.5	2199	9.93	MD99-2275
562.5	2204	10.59	MD99-2275
563.5	2210	11.12	MD99-2275
564.5	2215	8.84	MD99-2275
565.5	2220	9.65	MD99-2275
566.5	2225	9.06	MD99-2275
567.5	2230	8.48	MD99-2275
568.5	2235	8.32	MD99-2275
569.5	2240	8.42	MD99-2275
570.5	2245	8.76	MD99-2275
571.5	2251	NA	MD99-2275
572.5	2256	8.81	MD99-2275
573.5	2261	9.73	MD99-2275
574.5	2266	9.37	MD99-2275
575.5	2271	9.37	MD99-2275
576.5	2276	9.12	MD99-2275
577.5	2281	9.27	MD99-2275
578.5	2286	9.43	MD99-2275
579.5	2292	9.64	MD99-2275
580.5	2297	8.67	MD99-2275
581.5	2302	10.18	MD99-2275
582.5	2307	9.23	MD99-2275
583.5	2312	9.22	MD99-2275
584.5	2317	9.40	MD99-2275
585.5	2322	9.47	MD99-2275
586.5	2327	8.80	MD99-2275
587.5	2332	8.33	MD99-2275
588.5	2338	8.56	MD99-2275
589.5	2343	9.41	MD99-2275
590.5	2348	8.66	MD99-2275
591.5	2353	NA	MD99-2275
592.5	2358	NA	MD99-2275
593.5	2363	NA	MD99-2275
594.5	2368	NA	MD99-2275
595.5	2373	6.99	MD99-2275
596.5	2379	7.75	MD99-2275
597.5	2384	9.13	MD99-2275
598.5	2389	9.59	MD99-2275
599.5	2394	10.10	MD99-2275
600.5	2399	9.39	MD99-2275
601.5	2404	9.26	MD99-2275
602.5	2409	8.89	MD99-2275
603.5	2414	9.01	MD99-2275
604.5	2419	9.59	MD99-2275
605.5	2425	9.43	MD99-2275
606.5	2430	9.45	MD99-2275
607.5	2435	9.58	MD99-2275
608.5	2440	9.41	MD99-2275
609.5	2445	9.03	MD99-2275
610.5	2450	9.14	MD99-2275
611.5	2455	9.05	MD99-2275
612.5	2460	8.90	MD99-2275
613.5	2466	10.08	MD99-2275
614.5	2471	11.12	MD99-2275
615.5	2476	9.20	MD99-2275
616.5	2481	9.63	MD99-2275
617.5	2486	9.62	MD99-2275
618.5	2491	9.39	MD99-2275
619.5	2496	9.33	MD99-2275
620.5	2501	9.77	MD99-2275
621.5	2506	10.24	MD99-2275
622.5	2512	10.35	MD99-2275
623.5	2517	10.85	MD99-2275
624.5	2522	11.07	MD99-2275
625.5	2527	10.29	MD99-2275
626.5	2532	10.45	MD99-2275
627.5	2537	9.52	MD99-2275
628.5	2542	7.86	MD99-2275
629.5	2547	8.81	MD99-2275
630.5	2553	8.56	MD99-2275
631.5	2558	8.87	MD99-2275
632.5	2563	9.82	MD99-2275
633.5	2568	8.27	MD99-2275
634.5	2573	8.47	MD99-2275
