depth	d18O	dD
96.132	-29.56	
96.201	-28.07	
96.269	-24.94	
96.337	-23.80	
96.406	-24.49	
96.474	-27.19	
96.542	-28.85	
96.611	-29.46	
96.679	-29.29	
96.747	-28.36	
96.816	-24.66	
96.884	-27.12	
96.952	-30.33	
97.020	-31.89	
97.089	-31.69	
97.157	-30.32	
97.225	-28.69	
97.293	-24.01	
97.361	-25.38	
97.430	-28.62	
97.498	-30.32	
97.566	-29.50	
97.634	-27.51	
97.702	-25.36	
97.771	-25.06	
97.839	-27.39	
97.907	-30.29	
97.975	-31.13	
98.043	-30.21	
98.111	-29.11	
98.179	-28.12	
98.247	-27.31	
98.315	-26.30	
98.383	-27.50	
98.451	-28.96	
98.519	-29.59	
98.587	-29.91	
98.655	-29.98	
98.723	-29.64	
98.791	-29.21	
98.859	-28.28	
98.927	-27.61	
98.995	-27.77	
99.063	-28.82	
99.131	-29.75	
99.199	-29.35	
99.267	-28.52	
99.335	-26.93	
99.402	-26.43	
99.470	-27.80	
99.538	-28.88	
99.606	-28.82	
99.674	-27.07	
99.742	-24.98	
99.809	-23.79	
99.877	-23.67	
99.945	-24.74	
100.013	-26.58	
100.080	-28.67	
100.148	-29.35	
100.216	-28.56	
100.284	-27.63	
100.351	-29.13	
100.419	-31.25	
100.487	-31.87	
100.554	-30.95	
100.622	-29.83	
100.690	-28.92	
100.757	-29.08	
100.825	-29.36	
100.893	-28.76	
100.960	-28.04	
101.028	-27.57	
101.096	-28.08	
101.163	-29.29	
101.231	-30.75	
101.298	-32.68	
101.366	-32.31	
101.434	-30.56	
101.501	-28.39	
101.569	-26.52	
101.636	-27.05	
101.704	-28.61	
101.771	-30.44	
101.839	-31.00	
101.906	-30.45	
101.974	-29.10	
102.041	-26.84	
102.109	-21.36	
102.176	-26.34	
102.243	-27.27	
102.311	-29.52	
102.378	-32.16	
102.446	-32.11	
102.513	-30.79	
102.580	-30.82	
102.648	-27.26	
102.715	-26.32	
102.782	-26.32	
102.850	-27.78	
102.917	-28.94	
102.984	-28.72	
103.052	-28.45	
103.119	-27.97	
103.186	-27.65	
103.254	-27.09	
103.321	-26.84	
103.388	-26.53	
103.455	-26.71	
103.523	-27.42	
103.590	-28.09	
103.657	-28.83	
103.724	-29.49	
103.792	-29.22	
103.859	-27.74	
103.926	-26.12	
103.993	-25.45	
104.060	-26.17	
104.128	-26.95	
104.195	-27.31	
104.262	-27.83	
104.329	-28.23	
104.396	-27.80	
104.463	-26.46	
104.530	-26.09	
104.597	-27.73	
104.665	-28.33	
104.732	-29.11	
104.799	-29.46	
104.866	-28.88	
104.933	-27.90	
105.000	-26.93	
105.067	-26.24	
105.134	-26.48	
105.201	-27.64	
105.268	-27.90	
105.335	-27.17	
105.402	-26.55	
105.469	-27.02	
105.536	-28.00	
105.603	-28.26	
105.670	-27.75	
105.737	-27.06	
105.804	-26.00	
105.871	-25.23	
105.937	-24.72	
106.004	-25.47	
106.071	-26.90	
106.138	-28.75	
106.205	-29.42	
106.272	-28.71	
106.339	-26.80	
106.406	-25.15	
106.472	-25.30	
106.539	-28.02	
106.606	-29.38	
106.673	-27.36	
106.740	-29.51	
106.807	-30.83	
106.873	-29.75	
106.940	-25.30	
107.007	-25.20	
107.074	-25.04	
107.140	-27.12	
107.207	-28.43	
107.274	-29.70	
107.341	-28.38	
107.407	-27.02	
107.474	-26.95	
107.541	-27.78	
107.607	-28.83	
107.674	-29.40	
107.741	-29.32	
107.807	-28.19	
107.874	-26.99	
107.941	-26.33	
108.007	-26.71	
108.074	-27.19	
108.141	-28.13	
108.207	-29.93	
108.274	-30.72	
108.340	-29.93	
108.407	-27.53	
108.474	-25.10	
108.540	-26.02	
108.607	-28.16	
108.673	-29.85	
108.740	-30.24	
108.806	-28.65	
108.873	-26.31	
108.939	-25.88	
109.006	-26.88	
109.072	-27.45	
109.139	-28.06	
109.205	-29.27	
109.272	-30.63	
109.338	-30.96	
109.405	-30.03	
109.471	-28.21	
109.538	-25.99	
109.604	-26.02	
109.671	-27.02	
109.737	-28.22	
109.803	-28.80	
109.870	-28.82	
109.936	-29.40	
110.003	-29.58	
110.069	-29.09	
110.135	-27.07	
110.202	-24.72	
110.268	-25.84	
110.334	-27.79	
110.401	-29.79	
110.467	-30.80	
110.533	-30.79	
110.600	-29.80	
110.666	-28.85	
110.732	-29.27	
110.799	-30.69	
110.865	-32.34	
110.931	-32.92	
110.998	-32.42	
111.064	-31.00	
111.130	-29.01	
111.196	-27.08	
111.263	-26.20	
111.329	-27.11	
111.395	-29.36	
111.461	-31.06	
111.527	-29.78	
111.594	-27.01	
111.660	-25.16	
111.726	-24.38	
111.792	-24.37	
111.858	-24.19	
111.924	-24.90	
111.991	-26.43	
112.057	-27.86	
112.123	-28.42	
112.189	-28.30	
112.255	-27.13	
112.321	-26.05	
112.387	-24.87	
112.453	-25.01	
112.520	-26.27	
112.586	-27.79	
112.652	-28.94	
112.718	-29.16	
112.784	-29.14	
112.850	-27.22	
112.916	-27.09	
112.982	-25.57	
113.048	-25.47	
113.114	-26.28	
113.180	-27.86	
113.246	-29.82	
113.312	-31.10	
113.378	-30.91	
113.444	-29.99	
113.510	-29.65	
113.576	-31.11	
113.642	-33.89	
113.708	-34.50	
113.774	-32.52	
113.840	-29.75	
113.906	-27.84	
113.972	-26.53	
114.037	-26.20	
114.103	-27.01	
114.169	-28.73	
114.235	-28.75	
114.301	-27.81	
